Server;Tagname;Value;Timestamp;Questionable;Annotated;Substituted
pi.vkg.ee;GGS5.GG12.TDT8;824.5045;15.03.2019 07:32:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;828.2703;15.03.2019 07:32:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;830.173;15.03.2019 07:35:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;827.755;15.03.2019 07:35:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;827.755;15.03.2019 07:36:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;824.782;15.03.2019 07:36:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;824.8216;15.03.2019 07:38:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;820.6198;15.03.2019 07:39:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;822.4036;15.03.2019 07:46:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;823.3946;15.03.2019 07:49:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;825.5748;15.03.2019 07:50:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;824.0289;15.03.2019 07:55:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;828.3495;15.03.2019 08:01:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;828.7856;15.03.2019 08:16:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;829.2613;15.03.2019 08:19:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.8829;15.03.2019 08:19:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.8829;15.03.2019 08:20:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;823.9892;15.03.2019 08:20:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;821.4126;15.03.2019 08:27:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;825.3766;15.03.2019 08:27:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;821.8487;15.03.2019 08:32:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;818.4793;15.03.2019 08:38:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;820.4612;15.03.2019 08:42:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;818.0036;15.03.2019 08:42:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;820.6198;15.03.2019 08:47:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;820.7387;15.03.2019 08:52:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;827.5964;15.03.2019 08:52:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;827.5964;15.03.2019 08:53:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;830.0541;15.03.2019 08:53:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;830.0541;15.03.2019 08:54:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.1694;15.03.2019 08:54:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.1694;15.03.2019 08:55:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;823.8306;15.03.2019 08:55:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;823.355;15.03.2019 09:00:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;821.0162;15.03.2019 09:00:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;821.0162;15.03.2019 09:01:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;818.4793;15.03.2019 09:01:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;818.4;15.03.2019 09:03:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;821.1351;15.03.2019 09:03:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;821.1351;15.03.2019 09:04:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;831.0847;15.03.2019 09:04:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;831.0847;15.03.2019 09:05:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;834.2955;15.03.2019 09:06:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;834.6126;15.03.2019 09:10:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;832.5117;15.03.2019 09:10:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;831.3225;15.03.2019 09:13:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;827.5171;15.03.2019 09:13:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;827.5171;15.03.2019 09:14:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;825.0198;15.03.2019 09:14:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;824.1081;15.03.2019 09:19:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.209;15.03.2019 09:20:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;835.2072;15.03.2019 09:20:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;835.2072;15.03.2019 09:21:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;840.836;15.03.2019 09:21:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;842.2234;15.03.2019 09:23:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;838.6162;15.03.2019 09:23:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;838.6162;15.03.2019 09:24:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;831.2829;15.03.2019 09:24:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;831.2829;15.03.2019 09:25:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.9622;15.03.2019 09:25:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;826.9622;15.03.2019 09:26:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;823.1171;15.03.2019 09:26:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;817.2505;15.03.2019 09:35:58;False;Not Annotated;False
